# 入力読み	許容するakaza出力	corpus期待値	理由
ばんめしをかるくくえるところへいかないですか	晩飯を軽く食えるところへ行かないですか	晩飯を軽く食える所へ行かないですか	style:other
ひくいところからのしゃしんかな	低いところからの写真かな	低い所からの写真かな	style:other
ひつようなもの	必要なもの	必要な物	style:物→もの
ひとからしかきふがうけとれないではないか？？	人からしか寄付が受け取れないではないか？？	人からしか寄付が受け取れないではないか??	punctuation_style
ひょうじされるわけではないので	表示されるわけではないので	表示されるわけでは無いので	style:無い→ない
へんこうしなくてもよかったのかなぁというきもします	変更しなくても良かったのかなぁという気もします	変更しなくてもよかったのかなぁという気もします	style:良かった→よかった
べっどをおくばしょがないなぁとおもったらあんのじょう	ベッドを置く場所がないなぁと思ったら案の定	ベッドを置く場所が無いなぁと思ったら案の定	style:無い→ない
ぺんぎんがきょうりゅうだったところまでおもいをはせてください。	ペンギンが恐竜だったところまで思いを馳せてください。	ペンギンが恐竜だった所まで思いを馳せてください。	style:other
ぺんぎんにえいこうあれ！	ペンギンに栄光あれ！	ペンギンに栄光あれ!	punctuation_style
ほとんどないね	ほとんどないね	ほとんど無いね	style:無い→ない
ほんだなをおくばしょがないな	本棚を置く場所がないな	本棚を置く場所が無いな	style:無い→ない
ほんらいおれのすべきことは	本来俺のすべきことは	本来俺のすべき事は	style:事→こと
まいかいおなじじゃないですか？	毎回同じじゃないですか？	毎回同じじゃないですか?	punctuation_style
まいにちだしているわけではないですからねえ	毎日出しているわけではないですからねえ	毎日出しているわけでは無いですからねえ	style:無い→ない
まけたとおもうひつようがないところで	負けたと思う必要がないところで	負けたと思う必要が無い所で	style:無い→ない
みずばかりのんでいたからかな？	水ばかり飲んでいたからかな？	水ばかり飲んでいたからかな?	punctuation_style
みそかつおいしすぎです	味噌カツおいしすぎです	味噌カツ美味しすぎです	style:美味→おいし
みたことないぱたーんにはひくいかくりつをわりあてる	見たことないパターンには低い確率を割り当てる	見たこと無いパターンには低い確率を割り当てる	style:無い→ない
むずかしいこといってる	難しいこと言ってる	難しい事言ってる	style:事→こと
むりなこともためしてみる	無理なことも試してみる	無理な事も試してみる	style:事→こと
めんたーときくとべつのものをおもいうかべる	メンターと聞くと別のものを思い浮かべる	メンターと聞くと別の物を思い浮かべる	style:物→もの
めんどうなことこのうえない。	面倒なことこの上ない。	面倒な事この上ない。	style:事→こと
もうすてられるぎじゅつなのでべつのことをやったほうがよいきがする	もう捨てられる技術なので別のことをやった方が良い気がする	もう捨てられる技術なので別の事をやった方が良い気がする	style:事→こと
もうちょっとてんかいはやくてもよかったですね	もうちょっと展開早くても良かったですね	もうちょっと展開早くてもよかったですね	style:良かった→よかった
もうちょっとようそをおとしてすっきりしてもよかったのかなとおもいます	もうちょっと要素を落としてすっきりしても良かったのかなと思います	もうちょっと要素を落としてすっきりしてもよかったのかなと思います	style:良かった→よかった
もちこみきんしにしてるところもあるな。	持ち込み禁止にしてるところもあるな。	持ち込み禁止にしてる所もあるな。	style:other
もっといいものくえばよい	もっといいもの食えば良い	もっと良い物食えば良い	style:良い→いい,物→もの
もどってきてもいばしょがないばあいがある	戻ってきても居場所がない場合がある	戻ってきても居場所が無い場合がある	style:無い→ない
ものすごいいっぱんてきなことをしゃべってるんですよ	ものすごい一般的なことを喋ってるんですよ	ものすごい一般的な事を喋ってるんですよ	style:事→こと
もののおきばにこまる	ものの置き場に困る	物の置き場に困る	style:物→もの
もんだいがないかかくにんしていただけないでしょうか	問題がないか確認していただけないでしょうか	問題が無いか確認していただけないでしょうか	style:無い→ない
やくしてあるぶぶんもいろいろびみょうのようなきもします	訳してある部分もいろいろ微妙のような気もします	訳してある部分も色々微妙のような気もします	style:色々→いろいろ
やるひつようはない	やる必要はない	やる必要は無い	style:無い→ない
ゆうちょうなことをいってられなかったのー	悠長なことを言ってられなかったのー	悠長な事を言ってられなかったのー	style:事→こと
ゆきがふればいいのに	雪が降ればいいのに	雪が降れば良いのに	style:良い→いい
ゆきのないひでも	雪のない日でも	雪の無い日でも	style:無い→ない
よくわからない	よくわからない	よく分からない	style:分かる→わかる
よやくならばいい	予約ならばいい	予約ならば良い	style:良い→いい
よりよいものになるよう	より良いものになるよう	より良い物になるよう	style:物→もの
りべんとなることをいとしてさくせいしました	利便となることを意図して作成しました	利便となる事を意図して作成しました	style:事→こと
れいぞうこのなかのものがくさりやすくなってきました。	冷蔵庫の中のものが腐りやすくなってきました。	冷蔵庫の中の物が腐りやすくなってきました。	style:物→もの
れいぶんをいろいろとついかする	例文を色々と追加する	例文をいろいろと追加する	style:other
わざわざいえにいくほどのことはない	わざわざ家に行くほどのことはない	わざわざ家に行くほどの事は無い	style:無い→ない,事→こと
わたしがほんとうにほしいもの	私が本当に欲しいもの	私が本当に欲しい物	style:物→もの
わたしのところは、しゅうまつにしょくりょうをまとめがいして、	私のところは、週末に食料をまとめ買いして、	私の所は、週末に食料をまとめ買いして、	style:other
わりにぱふぉーまんすはいい	割にパフォーマンスはいい	割にパフォーマンスは良い	style:良い→いい
わるいところもしっています。	悪いところも知っています。	悪い所も知っています。	style:other
われわれのすこーぷからはずれているのですがどうおかんがえでしょうか？	我々のスコープから外れているのですがどうお考えでしょうか？	我々のスコープから外れているのですがどうお考えでしょうか?	punctuation_style
あきらめてこっちにするべきか	諦めてこっちにするべきか	あきらめてこっちにするべきか	corpus_expects_hiragana
あれはあれでしかたがない。	あれはあれで仕方がない。	あれはあれでしかたがない。	corpus_expects_hiragana
いがいなひとがたすけてくれてうれしいいっぽう	意外な人が助けてくれて嬉しい一方	意外な人が助けてくれてうれしい一方	style:うれしい→嬉しい
いつのまにかそばにきてうれしそうに	いつの間にかそばに来て嬉しそうに	いつの間にかそばに来てうれしそうに	style:うれしい→嬉しい
いろいろとえいきょうがでてきてるのではやくほしいのですよ	いろいろと影響が出てきてるので早くほしいのですよ	いろいろと影響が出てきてるので早く欲しいのですよ	style:ほしい→欲しい
うわさにきいていたとおりのやすさ	噂に聞いていた通りの安さ	噂に聞いていたとおりの安さ	style:とおり→通り
おかんむりだったので	御冠だったので	おかんむりだったので	corpus_expects_hiragana
けいきげんそく	契機減速	けいきげんそく	corpus_expects_hiragana
げいとしてつづけてほしいとはおもうものの	芸として続けてほしいとは思うものの	芸として続けて欲しいとは思うものの	style:ほしい→欲しい
げんさくはまったくしりませんが	原作は全く知りませんが	原作はまったく知りませんが	style:まったく→全く
こうべのときはたぶん	神戸の時は多分	神戸の時はたぶん	style:たぶん→多分
これがたぶんしちょうしゃのみたかったもので	これが多分視聴者の見たかったもので	これがたぶん視聴者の見たかったもので	style:たぶん→多分
これほどうれしいことはありません	これほど嬉しいことはありません	これほどうれしいことはありません	corpus_expects_hiragana
ごしてきのとおり	ご指摘の通り	ご指摘のとおり	style:とおり→通り
さきのめーるのとおり	先のメールの通り	先のメールのとおり	style:とおり→通り
さくじょしてくれるとうれしいです	削除してくれると嬉しいです	削除してくれるとうれしいです	style:うれしい→嬉しい
さんのおっしゃるとおりだとおもいます	さんのおっしゃる通りだと思います	さんのおっしゃるとおりだと思います	style:とおり→通り
しおのほうがおいしかったですよ	塩の方が美味しかったですよ	塩の方がおいしかったですよ	style:おいしい→美味しい
しるなしたんたんめんはおいしい	汁無し坦々麺は美味しい	汁無し坦々麺はおいしい	style:おいしい→美味しい
すさまじかったです	凄まじかったです	すさまじかったです	corpus_expects_hiragana
すさまじかったですね	凄まじかったですね	すさまじかったですね	corpus_expects_hiragana
すべてそろった	全て揃った	すべて揃った	style:すべて→全て
すべてのいぞんかんけいがいんすとーるできません	全ての依存関係がインストールできません	すべての依存関係がインストールできません	style:すべて→全て
すべてのいぞんかんけいをいんすとーるできませんでした	全ての依存関係をインストールできませんでした	すべての依存関係をインストールできませんでした	style:すべて→全て
それがすべてのぜんていです	それが全ての前提です	それがすべての前提です	style:すべて→全て
それはたぶんだいじょうぶですよ	それは多分大丈夫ですよ	それはたぶん大丈夫ですよ	style:たぶん→多分
それはたぶんむりときづきました	それは多分無理と気づきました	それはたぶん無理と気づきました	style:たぶん→多分
たしかにそういうひとたちもうれしいでしょうけど	確かにそういう人たちも嬉しいでしょうけど	確かにそういう人たちもうれしいでしょうけど	style:うれしい→嬉しい
たぶんおおくが	多分多くが	たぶん多くが	style:たぶん→多分
たぶんおたからえいぞうを	多分お宝映像を	たぶんお宝映像を	style:たぶん→多分
たぶんじつげんはしないんじゃないかとおもいます	多分実現はしないんじゃないかと思います	たぶん実現はしないんじゃないかと思います	style:たぶん→多分
たぶんそのぐらいだとおもいます	多分そのぐらいだと思います	たぶんそのぐらいだと思います	style:たぶん→多分
たぶんりそうにちかいのは	多分理想に近いのは	たぶん理想に近いのは	style:たぶん→多分
つっこむべきところなんだろうか	突っ込む冪ところなんだろうか	つっこむべきところなんだろうか	corpus_expects_hiragana
でいけるようになったのが	で行けるようになったのが	でいけるようになったのが	corpus_expects_hiragana
でもたぶんこれって	でも多分これって	でもたぶんこれって	corpus_expects_hiragana
とてもおいしいです	とても美味しいです	とてもおいしいです	corpus_expects_hiragana
どようのいべんとにはぜひさんかしてほしい	土曜のイベントには是非参加してほしい	土曜のイベントには是非参加して欲しい	style:ほしい→欲しい
ながくつかうことをかんがえるとこんかいのへんこうてんはうれしいですけど	長く使うことを考えると今回の変更点は嬉しいですけど	長く使うことを考えると今回の変更点はうれしいですけど	style:うれしい→嬉しい
なめるなよ	舐めるなよ	なめるなよ	corpus_expects_hiragana
なんともない	何ともない	なんともない	corpus_expects_hiragana
につっこみます	にツッコミます	につっこみます	corpus_expects_hiragana
のとおりに	の通りに	のとおりに	corpus_expects_hiragana
のままでいくんですかね	のままで行くんですかね	のままでいくんですかね	corpus_expects_hiragana
はずなのですが	はずなのですが	筈なのですが	style:はず→筈
はたぶんむり	は多分無理	はたぶん無理	style:たぶん→多分
ひどさがよくわかるのぉ	酷さがよくわかるのぉ	ひどさがよくわかるのぉ	corpus_expects_hiragana
ひょうだいのとおりですが	表題の通りですが	表題のとおりですが	style:とおり→通り
ぺーじにかいてあるとおりなんですけど	ページに書いてある通りなんですけど	ページに書いてあるとおりなんですけど	style:とおり→通り
まったくあてにならないさいきょうのとりあわせですが	全く当てにならない最強の取り合わせですが	まったく当てにならない最強の取り合わせですが	style:まったく→全く
まったくいしきしてなかったんで	全く意識してなかったんで	まったく意識してなかったんで	style:まったく→全く
まったくそのとおりで	全くその通りで	まったくその通りで	style:まったく→全く
まったくのぼれるきがしない	全く登れる気がしない	まったく登れる気がしない	style:まったく→全く
まったくもんだいありませんし	全く問題ありませんし	まったく問題ありませんし	style:まったく→全く
まったくわけがわかりません	全くわけがわかりません	まったくわけがわかりません	corpus_expects_hiragana
みそかつおいしすぎです	味噌カツおいしすぎです	味噌カツ美味しすぎです	style:おいしい→美味しい
めんしきがないはず	面識がないはず	面識がない筈	style:はず→筈
もうそうするしか	妄想するしか	もうそうするしか	corpus_expects_hiragana
もっとたまってからください	もっと溜まってからください	もっとたまってからください	corpus_expects_hiragana
やまにのぼりたいとはまったくおもいません	山に登りたいとは全く思いません	山に登りたいとはまったく思いません	style:まったく→全く
やみはすべてをとかす	闇は全てを溶かす	闇はすべてを溶かす	style:すべて→全て
やりとりしたことがあったので	やり取りしたことがあったので	やりとりしたことがあったので	corpus_expects_hiragana
わからなくなりつつあります	分からなくなりつつあります	わからなくなりつつあります	corpus_expects_hiragana
をふくむすべてをひょうじ	を含む全てを表示	を含むすべてを表示	style:すべて→全て
きた	着た	来た	short_ambiguous
きもいり	肝煎	肝煎り	short_ambiguous
けいきげんそく	契機減速	けいきげんそく	short_ambiguous
こぶり	小ぶり	小降り	short_ambiguous
ごばん	五番	語版	short_ambiguous
ごまかす	ごまかす	誤魔化す	short_ambiguous
ごますり	胡麻擂り	胡麻すり	short_ambiguous
さんそう	山荘	三相	short_ambiguous
しゃたつ	社建つ	社逹	short_ambiguous
しゅつず	出ず	出図	short_ambiguous
しゅとう	種痘	手刀	short_ambiguous
そこう	素行	粗鋼	short_ambiguous
たんそう	炭層	単相	short_ambiguous
だいめは	だいめは	台目は	short_ambiguous
とびきり	とびきり	飛び切り	short_ambiguous
なでがた	なで肩	撫で肩	short_ambiguous
なまゆで	生ゆで	生茹で	short_ambiguous
なをなす	なをなす	名を成す	short_ambiguous
ふんご	フン語	分後	short_ambiguous
みます	みます	見ます	short_ambiguous
めしくえ	飯くえ	飯食え	short_ambiguous
もうだめ	もうだめ	もうダメ	short_ambiguous
もちやで	餅屋で	持ち家で	short_ambiguous
ようかぐ	よう家具	洋家具	short_ambiguous
よきかな	よ気かな	良き哉	short_ambiguous
わって	割って	話って	short_ambiguous
わですな	わですな	話ですな	short_ambiguous
わを	わを	話を	short_ambiguous
いつもとかわらずできそうなのでしょうか	いつもと変わらずできそうなのでしょうか	いつもと変わらず出来そうなのでしょうか	style:出来→でき
いまはすきーはできないんですよ。	今はスキーはできないんですよ。	今はスキーは出来ないんですよ。	style:出来→でき
おもしろいはなしがたくさんあります。	面白い話がたくさんあります。	面白い話が沢山あります。	style:沢山→たくさん
からーしゃしんもきれいだとおもえました	カラー写真もきれいだと思えました	カラー写真も綺麗だと思えました	style:綺麗→きれい
きょうかいしゃでへんかんできなかったたんごは	今日会社で変換できなかった単語は	今日会社で変換出来なかった単語は	style:出来→でき
きれいにおわりました	きれいに終わりました	綺麗に終わりました	style:綺麗→きれい
きれいにさくらがさいている	きれいに桜が咲いている	綺麗に桜が咲いている	style:綺麗→きれい
これによりまきかえしをはかることができるでしょうか	これにより巻き返しを図ることができるでしょうか	これにより巻き返しを図ることが出来るでしょうか	style:出来→でき
そのようなひとはよのなかにたくさんいて、	そのような人は世の中にたくさんいて、	そのような人は世の中に沢山いて、	style:沢山→たくさん
たいざいできないでしょう。	滞在できないでしょう。	滞在出来ないでしょう。	style:出来→でき
たいふうによりこくどうがかんすいしたため、しゅうらくがこりつした	台風により国道が冠水したため、集落が孤立した	台風により国道が冠水した為、集落が孤立した	style:為→ため
たのしそうにできた	楽しそうにできた	楽しそうに出来た	style:出来→でき
でんちがきれてにゅうりょくできませんでした。	電池が切れて入力できませんでした。	電池が切れて入力出来ませんでした。	style:出来→でき
ねんのためおくっておきます。	念の為送っておきます。	念のため送っておきます。	style:為→ため
ぱっちをあてればできるかもしれないが	パッチを当てればできるかもしれないが	パッチを当てれば出来るかもしれないが	style:出来→でき
ふるいままなのであくせすできませんでした	古いままなのでアクセスできませんでした	古いままなのでアクセス出来ませんでした	style:出来→でき
ほとんどせんだいきんこうでしか	ほとんど仙台近郊でしか	殆ど仙台近郊でしか	style:殆ど→ほとんど
ほんとにきれいにはいりますね	ほんとに綺麗に入りますね	ほんとにきれいに入りますね	style:綺麗→きれい
みぢかなばしょにしぜんたくさんあってよいですね。	身近な場所に自然たくさんあって良いですね。	身近な場所に自然沢山あって良いですね。	style:沢山→たくさん
むさべつにつかうことができれば、	無差別に使うことができれば、	無差別に使うことが出来れば、	style:出来→でき
わかくてきれいなおんなのこは	若くて綺麗な女の子は	若くてきれいな女の子は	style:綺麗→きれい
わりときれいだ	割ときれいだ	割と綺麗だ	style:綺麗→きれい
あまりにていはつねつかつせいおんで	あまりに低発熱かつ静音で	余りに低発熱かつ静音で	style:余り↔あまり
いきのでんしゃおよびかいしゃでねむけとたたかった	行きの電車および会社で眠気と戦った	行きの電車及び会社で眠気と戦った	style:及び↔および
いそうとくせいのへんかがなく	位相特性の変化がなく	位相特性の変化が無く	style:無く↔なく
おなじばーじょんがすでにいんすとーるされています	同じバージョンが既にインストールされています	同じバージョンがすでにインストールされています	style:既に↔すでに
おやはなくともこはそだつ	親はなくとも子は育つ	親は無くとも子は育つ	style:無く↔なく
きくじかんがなくなりそうですが。	聞く時間がなくなりそうですが。	聞く時間が無くなりそうですが。	style:無く↔なく
きゅうじつはいえにいるよりは、がいしゅつしたほうがすずしいですね。	休日は家にいるよりは、外出した方が涼しいですね。	休日は家に居るよりは、外出した方が涼しいですね。	style:居る↔いる
げんだんかいですでに	現段階で既に	現段階ですでに	style:既に↔すでに
こーぱすのこうちくおよびあくせすをおこなう	コーパスの構築およびアクセスを行う	コーパスの構築及びアクセスを行う	style:及び↔および
すでにらいばるたすう	既にライバル多数	すでにライバル多数	style:既に↔すでに
せいかなくしゅうりょうした	成果なく終了した	成果無く終了した	style:無く↔なく
ただし、	ただし、	但し、	style:但し↔ただし
ついにふなびんはなくなったか。	ついに船便はなくなったか。	ついに船便は無くなったか。	style:無く↔なく
つかいかたにとくにもんだいとなるてんはなく	使い方に特に問題となる点はなく	使い方に特に問題となる点は無く	style:無く↔なく
どのひならいるかをきいておく。	どの日ならいるかを聞いておく。	どの日なら居るかを聞いておく。	style:居る↔いる
なくてはならない	なくてはならない	無くてはならない	style:無く↔なく
なくもがな	なくもがな	無くもがな	style:無く↔なく
なにくれとなく	何くれとなく	何くれと無く	style:無く↔なく
にはすでにはいっていますね	には既に入っていますね	にはすでに入っていますね	style:既に↔すでに
はやくふろにはいらないとねるじかんがなくなる	早く風呂に入らないと寝る時間がなくなる	早く風呂に入らないと寝る時間が無くなる	style:無く↔なく
ゆーざのにゅうりょくからがくしゅうされたでーたおよびとうろくされたたんごは	ユーザの入力から学習されたデータおよび登録された単語は	ユーザの入力から学習されたデータ及び登録された単語は	style:及び↔および
よけいにやるきがなくなる	余計にやる気がなくなる	余計にやる気が無くなる	style:無く↔なく
れこーどがいしゃのきょかなくちゃくうたをはいしんした	レコード会社の許可なく着うたを配信した	レコード会社の許可無く着うたを配信した	style:無く↔なく
このはがきはさいせいしです	このハガキは再生紙です	この葉書は再製紙です	corpus_questionable:再製紙→再生紙
けさはよくひえた	今朝はよく冷えた	今朝は良く冷えた	style:良く→よく
このきせつ、いなかにいたころはよくたべてました。	この季節、田舎にいた頃はよく食べてました。	この季節、田舎にいた頃は良く食べてました。	style:良く→よく
こんねんどのけっさんをよくみせることがもくてきのようです	今年度の決算をよく見せることが目的のようです	今年度の決算を良く見せることが目的のようです	style:良く→よく
しかしよくできていますね。	しかしよくできていますね。	しかし良くできていますね。	style:良く→よく
しったかはよくないですね	知ったかはよくないですね	知ったかは良くないですね	style:良く→よく
ちょーくのこなはめによくない	チョークの粉は目によくない	チョークの粉は目に良くない	style:良く→よく
としをとるとものわすれがよくてこまる	年を取ると物忘れが良くて困る	年を取ると物忘れがよくて困る	style:良く→よく
とてもけしきもよくきもちのいいしつげん	とても景色もよく気持ちのいい湿原	とても景色も良く気持ちのいい湿原	style:良く→よく
よりよくするために	よりよくするために	より良くするために	style:良く→よく
かみならぬみのしるよしもなし	神ならぬ身の知る由もなし	神ならぬ身の知る由も無し	style:無し→なし
きょかをもらってにっきのぶんしょうをしゃきょうする	許可をもらって日記の文章を写経する	許可を貰って日記の文章を写経する	style:貰→もら
きれいにいんじできてよかったですよ	きれいに印字できて良かったですよ	綺麗に印字できてよかったですよ	style:綺麗→きれい,よかった→良かった
ごへんかんにからんだかいすうがいっていかいすうをこえると	誤変換に絡んだ回数が一定回数を超えると	誤変換にからんだ回数が一定回数を越えると	style:からんだ→絡んだ
さびしいきはします	寂しい気はします	さびしい気はします	style:さびし→寂し
しるなしたんたんめんをたべた	汁無し坦々麺を食べた	汁なし坦々麺を食べた	style:なし→無し
そんなものをもらってもおくばしょにこまるな	そんなものをもらっても置く場所に困るな	そんな物を貰っても置く場所に困るな	style:貰→もら,物→もの
たくさんもらっても	たくさんもらっても	沢山貰っても	style:貰→もら,沢山→たくさん
みるひつようなし	見る必要なし	見る必要無し	style:無し→なし
ろーまじにゅうりょくがめんどうなくていいですね	ローマ字入力が面倒なくていいですね	ローマ字入力が面倒無くて良いですね	style:無く→なく,良い→いい
さけのみのくせにけんこうだ	酒飲みの癖に健康だ	酒飲みのくせに健康だ	style:癖↔くせ
「みちゃだめ」	「見ちゃだめ」	「見ちゃダメ」	style:ダメ↔だめ
あれはだめですね	あれはだめですね	あれはダメですね	style:ダメ↔だめ
いちやにしてごみやまとかした	一夜にしてごみ山と化した	一夜にしてゴミ山と化した	style:ゴミ↔ごみ
おまえらどっちもあほだな	お前らどっちもあほだな	お前らどっちもアホだな	style:アホ↔あほ
けんりってあほかと	権利ってあほかと	権利ってアホかと	style:アホ↔あほ
これぐらいでおどろいていてはだめです	これぐらいで驚いていてはだめです	これぐらいで驚いていてはダメです	style:ダメ↔だめ
こんなことになるとはよそうしてませんでしたよまじで	こんなことになるとは予想してませんでしたよまじで	こんなことになるとは予想してませんでしたよマジで	style:マジ↔まじ
ごみはとうじつのあさまでにだしましょう	ごみは当日の朝までに出しましょう	ゴミは当日の朝までに出しましょう	style:ゴミ↔ごみ
ごみはぶんべつはいきしてください	ごみは分別廃棄してください	ゴミは分別廃棄してください	style:ゴミ↔ごみ
さいじっこうしないとだめ	再実行しないとだめ	再実行しないとダメ	style:ダメ↔だめ
じぎょうけいごみのゆうりょうか	事業系ごみの有料化	事業系ゴミの有料化	style:ゴミ↔ごみ
すみません、ふぁいるはじぶんでさくせいしないとだめかもしれません	すみません、ファイルは自分で作成しないとだめかもしれません	すみません、ファイルは自分で作成しないとダメかもしれません	style:ダメ↔だめ
ぜったいぱすじゃないとだめ	絶対パスじゃないとだめ	絶対パスじゃないとダメ	style:ダメ↔だめ
それはだめですね	それはだめですね	それはダメですね	style:ダメ↔だめ
そんなあほな	そんなあほな	そんなアホな	style:アホ↔あほ
そんなあほな！	そんなあほな！	そんなアホな!	style:アホ↔あほ
たいおうしなきゃだめですけど	対応しなきゃだめですけど	対応しなきゃダメですけど	style:ダメ↔だめ
だめすぎますね	だめすぎますね	ダメすぎますね	style:ダメ↔だめ
だめそうなきがしますな	だめそうな気がしますな	ダメそうな気がしますな	style:ダメ↔だめ
だめなかのうせいがあるということですか	だめな可能性があるということですか	ダメな可能性があるということですか	style:ダメ↔だめ
だめになるかのうせいもあるので	だめになる可能性もあるので	ダメになる可能性もあるので	style:ダメ↔だめ
とくにせれぶでもないのにいいとしこいてしょうかくしないのはだめですか？	特にセレブでもないのにいい年こいて昇格しないのはだめですか？	特にセレブでもないのにいい年こいて昇格しないのはダメですか?	style:ダメ↔だめ
どちらかでなくてはだめということはないです	どちらかでなくてはだめということはないです	どちらかでなくてはダメということはないです	style:ダメ↔だめ
なんとかしないとだめなすくえないじょうきょう	何とかしないとだめな救えない状況	何とかしないとダメな救えない状況	style:ダメ↔だめ
にかいたらだめということですかね	に書いたらだめということですかね	に書いたらダメということですかね	style:ダメ↔だめ
のばあいはそうたいぱすじゃないとだめで	の場合は相対パスじゃないとだめで	の場合は相対パスじゃないとダメで	style:ダメ↔だめ
はぜんぜんだめなのでやりますけど	は全然だめなのでやりますけど	は全然ダメなのでやりますけど	style:ダメ↔だめ
ばいとでもてをくわえたらだめそうにみえますね	バイトでも手を加えたらだめそうに見えますね	バイトでも手を加えたらダメそうに見えますね	style:ダメ↔だめ
まじでみるかちないです	まじで見る価値ないです	マジで見る価値ないです	style:マジ↔まじ
もうちょっとまじめにめいろのつくりかたをかんがえないとだめだな	もうちょっと真面目に迷路の作り方を考えないとだめだな	もうちょっと真面目に迷路の作り方を考えないとダメだな	style:ダメ↔だめ
ようきほうそうごみ	容器包装ごみ	容器包装ゴミ	style:ゴミ↔ごみ
りりーすしなきゃだめですよね	リリースしなきゃだめですよね	リリースしなきゃダメですよね	style:ダメ↔だめ
ろーかるでためしてもだめだったのでべつのほうほうをかんがえる	ローカルで試してもだめだったので別の方法を考える	ローカルで試してもダメだったので別の方法を考える	style:ダメ↔だめ
わすれちゃだめですよ	忘れちゃだめですよ	忘れちゃダメですよ	style:ダメ↔だめ
たばたくんのことかな	田畑勲のことかな	田畑君の事かな	corpus_outdated:田畑勲(サッカー選手)
いつのまにそんなにちからをつけていたんだろう	いつの間にそんなに力をつけていたんだろう	いつの間にそんなに力を付けていたんだろう	style:付け↔つけ
だんだんめんどうになってきたのですが、	だんだん面倒になってきたのですが、	段々面倒になってきたのですが、	style:段々↔だんだん
ちょうさしていただきありがとうございました	調査していただきありがとうございました	調査していただき有難うございました	style:有難う↔ありがとう
でーもんにひとのなまえをつけてるんですか	デーモンに人の名前をつけてるんですか	デーモンに人の名前を付けてるんですか	style:付け↔つけ
にしてもいいよというものいがいうけつけないことにしました	にしてもいいよというもの以外受け付けないことにしました	にしてもいいよというもの以外受けつけないことにしました	style:付け↔つけ
みそをつける	味噌をつける	味噌を付ける	style:付け↔つけ
めーかのかんむりつけただけなのはじょがい	メーカの冠つけただけなのは除外	メーカの冠付けただけなのは除外	style:付け↔つけ
かりとうろくとほんとうろくのちがいはなんですか？	仮登録と本登録の違いはなんですか？	仮登録と本登録の違いは何ですか?	style:何で↔なんで
どようびにしまっていたのでなんでだろ	土曜日にしまっていたのでなんでだろ	土曜日にしまっていたので何でだろ	style:何で↔なんで
なぜかじゅうでんできずに	何故か充電できずに	なぜか充電できずに	style:何故↔なぜ
